Sensor, X, Y, Z
magnetic, 39.358521, 32.855225, -2.877808
magnetic, 40.057373, 31.808472, -1.856995
magnetic, 39.009094, 31.459045, -0.837708
magnetic, 40.406799, 32.507324, -1.516724
magnetic, 39.358521, 31.808472, -2.197266
magnetic, 40.754700, 31.459045, -1.856995
magnetic, 39.358521, 32.507324, -2.877808
magnetic, 39.358521, 32.507324, -2.197266
magnetic, 39.358521, 33.204651, -1.856995
magnetic, 39.358521, 32.157898, -1.518250
magnetic, 37.263489, 33.204651, -2.537537
magnetic, 37.263489, 35.650635, -2.876282
magnetic, 36.215210, 38.442993, -3.216553
magnetic, 34.469604, 38.093567, -4.576111
magnetic, 30.976868, 40.538025, -6.954956
magnetic, 28.881836, 41.238403, -7.974243
magnetic, 27.835083, 43.333435, -7.974243
magnetic, 25.738525, 43.681335, -8.314514
magnetic, 23.294067, 46.125793, -8.314514
magnetic, 22.247314, 46.125793, -7.295227
magnetic, 21.897888, 45.079041, -8.995056
magnetic, 22.944641, 44.729614, -8.654785
magnetic, 21.897888, 45.776367, -8.995056
magnetic, 21.199036, 46.125793, -8.314514
magnetic, 21.199036, 44.729614, -8.654785
magnetic, 21.897888, 45.428467, -8.654785
magnetic, 22.944641, 44.380188, -7.633972
magnetic, 25.041199, 44.380188, -6.954956
magnetic, 28.532410, 42.634583, -5.935669
magnetic, 31.675720, 40.190125, -4.576111
magnetic, 34.469604, 38.442993, -3.216553
magnetic, 37.263489, 35.649109, -4.576111
magnetic, 40.756226, 32.507324, -3.216553
magnetic, 40.057373, 30.760193, -2.537537
magnetic, 41.104126, 29.364014, -3.216553
magnetic, 41.453552, 28.665161, -4.237366
magnetic, 42.152405, 28.315735, -4.237366
magnetic, 41.453552, 27.967834, -3.897095
magnetic, 42.501831, 28.665161, -3.556824
magnetic, 42.152405, 28.315735, -5.255127
magnetic, 41.802979, 27.966309, -4.916382
magnetic, 42.152405, 28.317261, -3.897095
magnetic, 41.802979, 28.665161, -3.216553
magnetic, 41.104126, 29.014587, -4.237366
magnetic, 42.501831, 28.317261, -5.255127
magnetic, 41.453552, 27.966309, -3.556824
magnetic, 42.152405, 30.061340, -4.916382
magnetic, 40.057373, 31.459045, -4.237366
magnetic, 37.962341, 34.252930, -5.595398
magnetic, 37.263489, 37.046814, -4.916382
magnetic, 33.770752, 37.744141, -6.954956
magnetic, 32.025146, 38.792419, -6.954956
magnetic, 29.231262, 41.586304, -7.974243
magnetic, 26.437378, 42.984009, -10.014343
magnetic, 25.041199, 43.682861, -10.014343
magnetic, 22.595215, 44.729614, -11.712646
magnetic, 22.247314, 44.729614, -11.712646
magnetic, 21.548462, 44.729614, -10.693359
magnetic, 21.896362, 44.380188, -10.693359
magnetic, 22.595215, 45.079041, -11.712646
magnetic, 23.294067, 43.681335, -10.354614
magnetic, 27.136230, 42.285156, -8.314514
magnetic, 31.326294, 40.539551, -8.654785
magnetic, 35.516357, 37.046814, -6.275940
magnetic, 38.310242, 33.206177, -4.237366
magnetic, 40.055847, 31.109619, -3.216553
magnetic, 42.501831, 28.317261, -2.877808
magnetic, 43.550110, 26.220703, -1.856995
magnetic, 44.247437, 26.220703, -2.537537
magnetic, 44.247437, 25.173950, -2.197266
magnetic, 43.898010, 26.220703, -2.197266
magnetic, 43.898010, 27.268982, -0.497437
magnetic, 43.548584, 26.220703, -1.856995
magnetic, 42.851257, 27.618408, -2.537537
magnetic, 42.851257, 27.967834, -2.877808
magnetic, 42.501831, 30.761719, -2.876282
magnetic, 39.707947, 31.459045, -3.556824
magnetic, 38.659668, 32.856750, -3.556824
magnetic, 36.215210, 35.301208, -6.954956
magnetic, 33.770752, 37.046814, -8.654785
magnetic, 30.627441, 39.840698, -10.014343
magnetic, 27.136230, 41.586304, -12.393188
magnetic, 25.041199, 43.331909, -13.751221
magnetic, 22.595215, 43.681335, -13.752747
magnetic, 20.500183, 44.030762, -14.091492
magnetic, 20.500183, 44.030762, -14.772034
magnetic, 21.199036, 44.729614, -14.431763
magnetic, 23.643494, 44.030762, -13.072205
magnetic, 26.437378, 42.285156, -11.033630
magnetic, 30.627441, 38.792419, -8.993530
magnetic, 35.168457, 36.697388, -6.954956
magnetic, 38.310242, 33.555603, -5.935669
magnetic, 41.453552, 30.410767, -3.216553
magnetic, 42.851257, 27.268982, -3.216553
magnetic, 43.200684, 26.919556, -3.897095
magnetic, 43.898010, 26.570129, -3.897095
magnetic, 43.548584, 25.172424, -4.237366
magnetic, 44.596863, 27.618408, -3.216553
magnetic, 42.851257, 25.871277, -4.235840
magnetic, 42.152405, 25.871277, -3.216553
magnetic, 43.548584, 25.871277, -3.216553
magnetic, 43.550110, 25.871277, -2.876282
magnetic, 41.802979, 26.570129, -3.556824
magnetic, 43.550110, 26.919556, -3.556824
magnetic, 43.200684, 26.570129, -3.216553
magnetic, 42.152405, 26.570129, -5.595398
